Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ETH,2021-02-12,1787.850354,1743.48,1817.99,1706.359584
ETH,2021-02-13,1845.672017,1787.852971,1867.39,1741.7
ETH,2021-02-14,1817.859145,1845.540052,1874.847704,1767.390744
ETH,2021-02-15,1803.889943,1817.863544,1851.684991,1786.71
ETH,2021-02-16,1780.19,1803.896405,1835.722054,1663.343469
ETH,2021-02-17,1781.927265,1780.18945,1825.175167,1725.58
ETH,2021-02-18,1850.95,1781.939966,1856.662493,1734.510463
ETH,2021-02-19,1938.235788,1850.95,1950.206091,1850.714418
ETH,2021-02-20,1958.134887,1938.24877,1974.910611,1891.647815
ETH,2021-02-21,1916.4,1958.135167,2038.84,1814.126851
ETH,2021-02-22,1935.57,1916.4,1975.994731,1887.635543
ETH,2021-02-23,1778.714506,1935.57,1937.511155,1531.004792
ETH,2021-02-24,1578.235653,1778.62638,1780.749528,1360.062332
ETH,2021-02-25,1625.83,1578.191234,1714,1502.07
ETH,2021-02-26,1479.54,1625.83,1671.72,1458.85
ETH,2021-02-27,1445.410541,1479.54,1563.16,1401.01
ETH,2021-02-28,1459.294856,1445.409457,1526.82,1427.7
ETH,2021-03-01,1421.77,1459.294873,1468.766347,1294.896651
ETH,2021-03-02,1571.47,1421.77,1573.174167,1414.01
ETH,2021-03-03,1489.22,1571.82,1604.56,1457.26
ETH,2021-03-04,1569.23,1489.22,1656.3,1478.61
ETH,2021-03-05,1538.857829,1569.23,1624.67,1505.971396
ETH,2021-03-06,1531.904931,1538.857991,1548.97,1443.86
ETH,2021-03-07,1651.716508,1531.563281,1670.91,1514.16
ETH,2021-03-08,1727.49,1651.671991,1734.127443,1631.96
ETH,2021-03-09,1833.73,1727.667058,1841.83,1667.041907
ETH,2021-03-10,1872.17,1833.68,1872.17,1800.19
ETH,2021-03-11,1795.79,1871.99,1878.91,1758.981084
ETH,2021-03-12,1826.07,1796.207484,1846.895607,1725
ETH,2021-03-13,1767.375953,1826.07,1840.764055,1722.95
ETH,2021-03-14,1922.148797,1767.373651,1942.70183,1728.3
ETH,2021-03-15,1848.91,1922.131897,1931.210068,1838.25
ETH,2021-03-16,1793.21,1848.91,1890,1735.87
ETH,2021-03-17,1806.037214,1793.21,1818.357346,1713
ETH,2021-03-18,1823.992556,1806.039328,1839.3,1743.35
ETH,2021-03-19,1776.329135,1823.985029,1849.015159,1760
ETH,2021-03-20,1809.38,1776.331961,1840.102701,1734.939859
ETH,2021-03-21,1804.251681,1809.38,1868.236041,1801.468741
ETH,2021-03-22,1784.580776,1804.229505,1816.48,1748.25
ETH,2021-03-23,1682.397302,1784.574599,1806.38,1657.26
ETH,2021-03-24,1669.126114,1682.192286,1721.156181,1653.001231
ETH,2021-03-25,1582.818756,1669.085682,1739.68438,1546.5
ETH,2021-03-26,1587.26,1582.826947,1621.560978,1550
ETH,2021-03-27,1700.056945,1587.08,1700.133575,1587
ETH,2021-03-28,1713.851565,1700.056956,1731.7,1667.510862
ETH,2021-03-29,1686.380765,1713.845084,1724.63,1662.217506
ETH,2021-03-30,1816.264098,1686.381166,1840.93,1677
ETH,2021-03-31,1841.378033,1816.264037,1859.077596,1787
ETH,2021-04-01,1917.91,1841.358907,1947.132361,1773.33
ETH,2021-04-02,1967.99637,1917.91,1982,1886.76
ETH,2021-04-03,2134.751504,1968.024158,2143.99,1950.539
ETH,2021-04-04,2010.039507,2134.68,2138.182887,2003.29
ETH,2021-04-05,2076.6,2010.039513,2091.639968,1981.16
ETH,2021-04-06,2107.219015,2076.6,2129.47,2003.6
ETH,2021-04-07,2112.69,2107.22675,2150.537332,2046.47
ETH,2021-04-08,1962.138016,2113,2128.078745,1930.56
ETH,2021-04-09,2081,1962.037361,2084.29,1950.22
ETH,2021-04-10,2066.931345,2081,2100,2050.17
ETH,2021-04-11,2134.029595,2066.897851,2194.76,2057.71
ETH,2021-04-12,2149.998214,2134.034473,2163.18,2113.48
ETH,2021-04-13,2138.001412,2149.973806,2199.195598,2103.23
ETH,2021-04-14,2300.02,2138.001418,2316.680021,2136.35
ETH,2021-04-15,2432.04,2300.02,2445.58303,2283.27
ETH,2021-04-16,2517.423101,2432.057503,2545.520911,2401.26
ETH,2021-04-17,2426.65,2517.40904,2548,2306.921872
ETH,2021-04-18,2319.11,2426.64,2496.82,2316.97
ETH,2021-04-19,2242.125713,2318.67,2340.021054,1963.133666
ETH,2021-04-20,2164.39,2242.125056,2281.364726,2080.7
ETH,2021-04-21,2333.707955,2164.39,2348.240911,2056.06
ETH,2021-04-22,2358.13,2333.635226,2468.644197,2239.165146
ETH,2021-04-23,2401.46,2358.13,2644.41,2309.11
ETH,2021-04-24,2369.08,2401.22,2441.74,2109.64
ETH,2021-04-25,2217.33,2369.08,2369.993098,2160.01
ETH,2021-04-26,2321.78,2217.33,2356.426225,2166.22
ETH,2021-04-27,2534.859307,2321.78,2542,2307.63
ETH,2021-04-28,2667.86,2534.805559,2680.311853,2485.18
ETH,2021-04-29,2750.831686,2667.86,2761.74,2561.915
ETH,2021-04-30,2758.703545,2750.889357,2799.993191,2672.22
ETH,2021-05-01,2776.726975,2758.693697,2799.146087,2728.22835
ETH,2021-05-02,2948.688232,2776.72549,2954.621995,2758.459388
ETH,2021-05-03,2952.322791,2948.68473,2985.69,2858
ETH,2021-05-04,3432.980607,2952.293,3456.18,2952.293
ETH,2021-05-05,3242.02,3432.867902,3529.974888,3175
ETH,2021-05-06,3529.002196,3242.02,3548.348742,3212
ETH,2021-05-07,3491.804648,3528.955137,3608.57,3382.64
ETH,2021-05-08,3484.7,3491.827995,3592.939398,3359
ETH,2021-05-09,3914.12,3484.7,3959.494895,3455.44
ETH,2021-05-10,3928.207477,3914.12,3982.115005,3732.84
