Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
LTC,2021-02-12,184.16,182.200769,193.46,176.286672
LTC,2021-02-13,197.124067,184.16,199.988195,177.217999
LTC,2021-02-14,226.486454,197.122097,229.059919,192.133676
LTC,2021-02-15,213.86,226.487336,230.71,208.84
LTC,2021-02-16,207.9,213.93,219.95,186.466863
LTC,2021-02-17,210.304472,207.9,221.787645,200.51
LTC,2021-02-18,237.433825,210.300854,237.59,203.58
LTC,2021-02-19,226.67,237.432759,238.86,221.029158
LTC,2021-02-20,236.811049,226.67,241.87,220.334592
LTC,2021-02-21,227.636958,236.809977,247,216.449836
LTC,2021-02-22,227.60027,227.602815,233.456221,220.681119
LTC,2021-02-23,208.18,227.600224,227.610238,179.006524
LTC,2021-02-24,177.617943,208.21,208.63,159.252674
LTC,2021-02-25,181.61255,177.613728,189.44,169.35
LTC,2021-02-26,179.07,181.612413,205.035118,175.5
LTC,2021-02-27,170.41,179.07,182.27,163
LTC,2021-02-28,172.076514,170.41,180.36,167.45
LTC,2021-03-01,165.124796,172.076581,172.92,153.17
LTC,2021-03-02,176.095835,165.124531,176.39,163.57
LTC,2021-03-03,178.779689,176.097037,185.11,170.89
LTC,2021-03-04,187.95,178.866118,196.40209,177.33
LTC,2021-03-05,180.893179,187.95,194.151626,177.05
LTC,2021-03-06,180.611623,180.893275,183.52,168.75572
LTC,2021-03-07,182.884948,180.622526,184.58,174.868376
LTC,2021-03-08,190.75266,182.884952,192.01,182.569047
LTC,2021-03-09,191.80907,190.74,195.05778,180.04
LTC,2021-03-10,203.810539,191.809248,205.050349,189.23
LTC,2021-03-11,200.373552,203.810544,207.956287,191.61
LTC,2021-03-12,201.26,200.322933,203.240272,191.214138
LTC,2021-03-13,220.68953,201.263619,224.162654,198.8
LTC,2021-03-14,226.377174,220.701631,229.93496,213.03
LTC,2021-03-15,214.09,226.380574,227.88,214.09
LTC,2021-03-16,200.82,214.11,222.26,197.86
LTC,2021-03-17,201.42,200.82,205.12,191.46
LTC,2021-03-18,206.05185,201.42,206.8,194.64
LTC,2021-03-19,199.798114,206.073041,208.06036,199.335262
LTC,2021-03-20,200.053124,199.79824,204.89,196
LTC,2021-03-21,199.930503,200.04776,205.99,199.03
LTC,2021-03-22,195.61,199.927259,201.741951,192.536409
LTC,2021-03-23,185.91,195.61,198.66,185.01
LTC,2021-03-24,186.12,185.91,189.22,181.342156
LTC,2021-03-25,176.18,186.12,196.906783,172.5
